P 10.9772365872 10.9601546233 0 2 4
P 4.23233195549 10.3948880546 1 100 5
P 17.7221412189 11.525421192 2 100 5
P 11.6948773623 0.728029505686 0 73 1
P 10.2595958121 21.1922797409 0 73 1
P 2.48782025093 9.08479396799 0 57 3
P 19.4666529235 12.8355152786 0 57 3
P 8.38513600578 12.2663949985 0 3 3
P 13.5693371686 9.65391424804 0 3 3
P 17.434959154 1.83728752951 0 35 5
P 4.5195140204 20.0830217171 0 35 5
P 18.8587617719 17.5966497318 0 40 3
P 3.0957114025 4.32365951474 0 40 3
P 15.1737817428 8.24260641545 0 4 4
P 6.78069143159 13.6777028311 0 4 4
P 21.9544731744 0.0 0 7 3
P 0.0 21.9203092466 0 7 3
P 7.78911962938 9.79024013424 0 50 5
P 14.165353545 12.1300691123 0 50 5
P 17.4825708492 5.74481351785 0 9 1
P 4.47190232527 16.1754957287 0 9 1
P 21.0473955899 18.5906204262 0 83 4
P 0.907077584567 3.32968882039 0 83 4
